Rank,Name,Game,Score
17,陆光祖,20,57130
18,常山干太,23,56981
19,林俊易,28,56078
20,拉克什亚·森,22,55691
21,伍家朗,25,54702
22,渡边航贵,18,53140
23,杨灿,26,52246
24,斯里坎特,22,49133
25,托马·朱尼尔·波波夫,24,49107
26,王子维,25,47770
27,克里斯托·波波夫,23,46430
28,普里耶修·拉贾瓦特,18,44710
29,拉斯穆斯·格姆克,16,43979
30,兹科·奥拉德维·瓦多约,17,42464
31,大林拓真,13,40430
32,李佳豪,26,40268
33,苏力扬,23,40240
34,马格纳斯·约翰森,22,40200
35,赵俊鹏,14,38908
36,基兰·乔治,21,38780
37,梁峻豪,18,37678
38,雷兰曦,12,36957
39,桃田贤斗,11,35860
40,戚又仁,22,35770
41,凯文·科登,15,35282
42,阮日,19,35023
43,王高伦,26,34904
44,阿诺·梅克尔,17,34259
45,米沙·西尔伯曼,18,33731
46,亚历克斯·拉尼尔,13,33710
47,朱利安·卡拉吉,22,33650
48,伊戈尔·科埃略·德奥利维拉,18,32830
49,萨西什·库马尔·卡鲁纳卡兰,20,31650
50,简·劳达,19,31394
51,马克·卡尔乔,18,30175
52,玛兹·克里斯托弗森,18,29990
53,乌里尔·弗朗西斯科,16,29750
54,黄郁岂,20,29330
55,全奕陈,18,28899
56,田中涌士,12,28010
57,卡尔·科尔约宁,16,28001
58,乔纳森·马蒂耶斯,19,27421
59,阿尔维·法汉,11,27150
60,郑加恒,18,27096
61,詹俊为,18,26830
62,阿德·雷斯基·德维卡约,21,26443
63,米森·曼朱纳特,19,25480
64,巴勃罗·阿比扬,23,24755
65,高桥洸士,12,24580
66,乔瓦尼·托蒂,22,24050
67,廖倬甫,17,23703
68,宋俊伟,20,23610
69,乔金·奥尔多夫,22,23024
70,桑卡尔·穆图萨米·苏布拉马尼安,20,22800
71,舍沙·海仁·雷斯塔维托,9,22370
72,陈延泽,11,22330
73,德米特里·帕纳林,20,22310
74,贺首维,7,22250
75,丹尼洛·博斯尼乌克,18,22157
76,维伦·内塔辛格,18,22000
77,萨米尔·维尔马,9,21920
78,舒之颢,25,21869
79,凯·谢弗,26,21721
80,法比安·罗斯,23,21657
81,路易斯·拉蒙·加里多,14,21606
82,路易斯,22,21592
83,黎德发,18,20970
84,汤米·苏吉亚托,10,20750
85,秦野陆,14,20650
86,卢卡斯·克莱伯特,11,20416
87,柯林斯·瓦伦丁·菲利蒙,15,20330
88,法比奥·卡波尼奥,21,20309
89,肖勒·艾迪尔,12,20120
90,王柏崴,12,20040
91,赛·普拉尼斯·巴米迪帕提,14,19780
92,维克多·斯文德森,10,19640
93,梅拉巴鲁旺,22,19253
94,郭冠麟,20,18960
95,西蒂空·达玛新,8,18694
96,马克斯·卫斯基兴,21,18669
97,阮海当,21,18570
98,乔兰·奎克尔,16,18557
99,奇拉格·森,17,18440
100,马克·雪莱·阿尔卡拉,18,18190
1,安赛龙,15,97605
2,石宇奇,20,90184
3,李诗沣,22,83948
4,安德斯·安东森,20,82430
5,安东尼·西尼苏卡·金廷,20,81501
6,奈良冈功大,22,81015
7,普兰诺伊·哈塞纳·苏尼尔·库马尔,20,76587
8,昆拉武特·威提讪,20,73398
9,乔纳坦·克里斯蒂,18,73131
10,李梓嘉,24,70096
11,骆建佑,22,66702
12,西本拳太,27,65657
13,周天成,29,62687
14,李卓耀,27,62594
15,黄智勇,21,59360
16,翁泓阳,20,58840
17,陆光祖,20,57130
18,常山干太,23,56981
19,拉克什亚·森,22,55691
20,渡边航贵,17,53140
21,林俊易,28,52928
22,伍家朗,25,52602
23,杨灿,26,52246
24,斯里坎特,23,49133
25,托马·朱尼尔·波波夫,24,49107
26,王子维,26,47770
27,克里斯托·波波夫,23,46430
28,普里耶修·拉贾瓦特,17,44710
29,拉斯穆斯·格姆克,16,43979
30,兹科·奥拉德维·瓦多约,17,42464
31,大林拓真,14,42170
32,苏力扬,23,42110
33,李佳豪,26,40268
34,马格纳斯·约翰森,21,40200
35,雷兰曦,13,39197
36,赵俊鹏,14,38908
37,基兰·乔治,21,38780
38,梁峻豪,18,37678
39,戚又仁,22,36300
40,桃田贤斗,11,35860
41,凯文·科登,15,35282
42,阮日,20,35023
43,王高伦,26,34904
44,阿诺·梅克尔,17,34259
45,米沙·西尔伯曼,18,33821
46,亚历克斯·拉尼尔,13,33710
47,朱利安·卡拉吉,21,33650
48,马克·卡尔乔,18,33405
49,萨西什·库马尔·卡鲁纳卡兰,20,33300
50,伊戈尔·科埃略·德奥利维拉,18,32830
51,简·劳达,20,31394
52,玛兹·克里斯托弗森,17,29990
53,乌里尔·弗朗西斯科,16,29750
54,黄郁岂,21,29330
55,全奕陈,18,28369
56,田中涌士,12,28010
57,卡尔·科尔约宁,16,28001
58,乔纳森·马蒂耶斯,19,27951
59,郑加恒,19,27246
60,米森·曼朱纳特,19,27220
61,詹俊为,18,26830
62,阿尔维·法汉,11,26620
63,阿德·雷斯基·德维卡约,22,26443
64,巴勃罗·阿比扬,24,25205
65,高桥洸士,12,24580
66,乔瓦尼·托蒂,22,24050
67,桑卡尔·穆图萨米·苏布拉马尼安,20,24030
68,维伦·内塔辛格,19,23880
69,廖倬甫,18,23703
70,宋俊伟,20,23460
71,乔金·奥尔多夫,22,23024
72,舍沙·海仁·雷斯塔维托,9,22370
73,德米特里·帕纳林,20,22160
74,丹尼洛·博斯尼乌克,18,22157
75,萨米尔·维尔马,9,21920
76,王柏崴,13,21870
77,舒之颢,26,21869
78,凯·谢弗,26,21721
79,法比安·罗斯,23,21657
80,路易斯·拉蒙·加里多,14,21606
81,路易斯,22,21592
82,阮海当,22,21200
83,黎德发,18,20970
84,梅拉巴鲁旺,22,20533
85,卢卡斯·克莱伯特,11,20416
86,柯林斯·瓦伦丁·菲利蒙,15,20330
87,法比奥·卡波尼奥,21,20309
88,肖勒·艾迪尔,13,20270
89,陈延泽,11,20090
90,秦野陆,13,19860
91,汤米·苏吉亚托,10,19400
92,阿尤什·谢蒂,9,19150
93,吴英伦,11,18970
94,郭冠麟,20,18960
95,贺首维,6,18850
96,马克斯·卫斯基兴,21,18669
97,马库斯·巴思,24,18625
98,乔兰·奎克尔,16,18557
99,马克·雪莱·阿尔卡拉,19,18190
100,达尼尔·杜博文科,12,18020
1,安赛龙,15,97605
2,石宇奇,20,90184
3,李诗沣,22,83948
4,安德斯·安东森,20,82430
5,安东尼·西尼苏卡·金廷,20,81501
6,奈良冈功大,22,81015
7,普兰诺伊·哈塞纳·苏尼尔·库马尔,20,76587
8,昆拉武特·威提讪,20,73398
9,乔纳坦·克里斯蒂,18,73131
10,李梓嘉,24,70096
11,骆建佑,22,66702
12,西本拳太,27,65657
13,周天成,29,62687
14,李卓耀,27,62594
15,黄智勇,21,59360
16,翁泓阳,20,58840
17,陆光祖,20,57130
18,常山干太,23,56981
19,拉克什亚·森,22,55691
20,渡边航贵,17,53140
21,林俊易,28,52928
22,伍家朗,25,52602
23,杨灿,26,52246
24,斯里坎特,23,49133
25,托马·朱尼尔·波波夫,24,49107
26,王子维,26,47770
27,克里斯托·波波夫,23,46430
28,普里耶修·拉贾瓦特,17,44710
29,拉斯穆斯·格姆克,16,43979
30,兹科·奥拉德维·瓦多约,17,42464
31,大林拓真,14,42170
32,苏力扬,23,42110
33,李佳豪,26,40268
34,马格纳斯·约翰森,21,40200
35,雷兰曦,13,39197
36,赵俊鹏,14,38908
37,基兰·乔治,21,38780
38,梁峻豪,18,37678
39,戚又仁,22,36300
40,桃田贤斗,11,35860
41,凯文·科登,15,35282
42,阮日,20,35023
43,王高伦,26,34904
44,阿诺·梅克尔,17,34259
45,米沙·西尔伯曼,18,33821
46,亚历克斯·拉尼尔,13,33710
47,朱利安·卡拉吉,21,33650
48,马克·卡尔乔,18,33405
49,萨西什·库马尔·卡鲁纳卡兰,21,33300
50,伊戈尔·科埃略·德奥利维拉,18,32830
51,简·劳达,20,31394
52,全奕陈,19,30149
53,玛兹·克里斯托弗森,17,29990
54,乌里尔·弗朗西斯科,17,29750
55,黄郁岂,21,29330
56,卡尔·科尔约宁,17,29131
57,乔纳森·马蒂耶斯,20,28401
58,田中涌士,12,28010
59,郑加恒,19,27246
60,米森·曼朱纳特,20,27220
61,詹俊为,18,26830
62,阿尔维·法汉,11,26620
63,阿德·雷斯基·德维卡约,23,26513
64,萨米尔·维尔马,10,25320
65,巴勃罗·阿比扬,25,25205
66,高桥洸士,12,24580
67,维伦·内塔辛格,20,24480
68,乔瓦尼·托蒂,23,24050
69,桑卡尔·穆图萨米·苏布拉马尼安,21,24030
70,廖倬甫,18,23703
71,宋俊伟,20,23460
72,乔金·奥尔多夫,23,23024
73,舍沙·海仁·雷斯塔维托,9,22370
74,德米特里·帕纳林,21,22310
75,丹尼洛·博斯尼乌克,19,22157
76,阿尤什·谢蒂,10,21950
77,王柏崴,13,21870
78,舒之颢,26,21869
79,凯·谢弗,27,21721
80,法比安·罗斯,23,21657
81,路易斯·拉蒙·加里多,15,21606
82,路易斯,23,21592
83,梅拉巴鲁旺,23,21213
84,阮海当,23,21200
85,黎德发,19,21070
86,卢卡斯·克莱伯特,11,20416
87,柯林斯·瓦伦丁·菲利蒙,16,20330
88,法比奥·卡波尼奥,22,20309
89,肖勒·艾迪尔,13,20270
90,陈延泽,11,20090
91,秦野陆,13,19860
92,汤米·苏吉亚托,11,19440
93,吴英伦,12,19380
94,达尼尔·杜博文科,13,19300
95,郭冠麟,20,18960
96,贺首维,6,18850
97,马克斯·卫斯基兴,21,18669
98,马库斯·巴思,25,18625
99,乔兰·奎克尔,16,18557
100,马克·雪莱·阿尔卡拉,20,18190
1,安赛龙,14,97015
2,石宇奇,20,90184
3,安德斯·安东森,20,85944
4,李诗沣,22,83948
5,安东尼·西尼苏卡·金廷,19,81501
6,奈良冈功大,21,81015
7,普兰诺伊·哈塞纳·苏尼尔·库马尔,20,77647
8,昆拉武特·威提讪,20,73398
9,乔纳坦·克里斯蒂,18,73131
10,李梓嘉,24,70096
11,西本拳太,28,67182
12,骆建佑,22,66702
13,李卓耀,27,63599
14,周天成,28,62398
15,翁泓阳,21,61750
16,黄智勇,22,61015
17,陆光祖,21,59041
18,常山干太,23,56981
19,拉克什亚·森,22,56321
20,渡边航贵,17,54981
21,林俊易,29,54136
22,杨灿,26,53273
23,伍家朗,25,52536
24,斯里坎特,24,49623
25,托马·朱尼尔·波波夫,24,49325
26,王子维,27,48960
27,克里斯托·波波夫,23,46430
28,普里耶修·拉贾瓦特,17,44710
29,拉斯穆斯·格姆克,17,43979
30,大林拓真,15,43679
31,苏力扬,23,42110
32,兹科·奥拉德维·瓦多约,17,41729
33,马格纳斯·约翰森,22,41540
34,李佳豪,27,40988
35,雷兰曦,13,40446
36,梁峻豪,18,39621
37,基兰·乔治,21,38780
38,桃田贤斗,12,37717
39,戚又仁,22,37216
40,凯文·科登,15,35776
41,赵俊鹏,13,35650
42,阮日,20,35023
43,王高伦,26,34904
44,阿诺·梅克尔,18,34305
45,米沙·西尔伯曼,18,33821
46,亚历克斯·拉尼尔,12,33710
47,马克·卡尔乔,18,33662
48,伊戈尔·科埃略·德奥利维拉,18,33652
49,朱利安·卡拉吉,21,33650
50,萨西什·库马尔·卡鲁纳卡兰,21,33300
51,简·劳达,21,31394
52,乌里尔·弗朗西斯科,18,31059
53,玛兹·克里斯托弗森,18,30793
54,全奕陈,20,30149
55,黄郁岂,21,29330
56,乔纳森·马蒂耶斯,20,29307
57,卡尔·科尔约宁,17,29131
58,郑加恒,19,28438
59,田中涌士,12,28010
60,阿尔维·法汉,12,27895
61,米森·曼朱纳特,20,27220
62,詹俊为,18,26830
63,阿德·雷斯基·德维卡约,23,26513
64,萨米尔·维尔马,10,25320
65,巴勃罗·阿比扬,25,25205
66,高桥洸士,12,24580
67,维伦·内塔辛格,21,24480
68,乔瓦尼·托蒂,23,24050
69,桑卡尔·穆图萨米·苏布拉马尼安,21,24030
70,廖倬甫,18,23703
71,宋俊伟,20,23460
72,德米特里·帕纳林,21,23045
